Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category	Order Item ID
405-1737943-9757129	12-Oct-2025	31-Oct-2025	Approved	Dyh8bBJrRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514793521159	Seller	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	498.00	1	 	 	 	 	 	498.00	Automotive	15826491707227
403-1859041-6707518	11-Oct-2025	29-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	 	 	Seller	N	N	B0FQBYQB79	EN-SPARE-TYRE-28IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-28in)	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	451.00	1	 	 	 	 	 	 	Automotive	50112497168011
171-5945426-8669115	12-Oct-2025	29-Oct-2025	Approved	DzPKbKJbRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514790358376	Seller	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	CR-SWITCHEROO	Y	C-Returns	RefundAtFirstScan	 	04-Nov-2025	1043.10	1	 	 	 	 	 	943.10	Home Improvement	24315795211027
403-1859041-6707518	11-Oct-2025	25-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	 	 	Seller	N	N	B0FQBYQB79	EN-SPARE-TYRE-28IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-28in)	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	 	451.00	1	 	 	 	 	 	 	Automotive	50112497168011
406-0646813-3311512	05-Oct-2025	25-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364112428245	Not Computed	N	N	B0FQBW4WD9	EN-SPARE-TYRE-25IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-25in)	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-902	30-Oct-2025	 	 	ML_AUTO_RESOLUTION	78670-12815-9087554	GRANT	01-Nov-2025	201.83	 	Automotive	66790175110771
407-9577225-7592340	12-Oct-2025	25-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364384287113	Not Computed	N	N	B0FQTGY8WP	TOTE-HEART-2	STANIX Premium Printed Tote Bag with Zipper | Cotton Canvas Handbag for Unisex - Trendy College, Office & Everyday Shopping Companion (Beige) (TOTE-4)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-999	01-Nov-2025	 	 	 	 	 	 	 	 	Shoes	30833841629787
404-6384458-8157962	15-Oct-2025	25-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364420593819	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1047	01-Nov-2025	 	 	 	 	 	 	 	 	Home Improvement	66906657485051
402-0887691-6043512	14-Oct-2025	25-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364384257529	Not Computed	N	N	B0FQBVHKNT	EN-SPARE-TYRE-30IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-30in)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1038	28-Oct-2025	 	 	 	 	 	 	 	 	Automotive	51871061853627
408-4757546-0497945	15-Oct-2025	24-Oct-2025	Approved	DyHGk8JDRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514786031146	Seller	N	N	B0FQBVHKNT	EN-SPARE-TYRE-30IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-30in)	1	CR-SWITCHEROO	Y	Amazon CS	StandardRefund	IN-1050	 	 	1	 	 	 	 	 	 	Automotive	21993179839915
407-8173318-3781119	13-Oct-2025	24-Oct-2025	Approved	DlLFkKJDRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514792269151	Seller	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	 	1043.10	1	 	 	 	 	 	 	Home Improvement	49628525203787
