amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba 
402-6979885-3063555	402-6979885-3063555	2025-10-31T18:22:20+00:00	2025-11-02T07:17:09+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0						21.98		Paradip	ODISHA	754142	IN	PLM-afd311e2-14c6-4fd7-8e6e-264f8a81fd2e	false			false
402-2117511-3215546	402-2117511-3215546	2025-10-31T15:05:58+00:00	2025-11-01T06:06:04+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0						21.98		GURUGRAM	HARYANA	122018	IN	PLM-afd311e2-14c6-4fd7-8e6e-264f8a81fd2e	false			false
406-9502120-0368338	406-9502120-0368338	2025-10-31T14:49:04+00:00	2025-11-01T05:49:08+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Heavy-Duty Fan Cover | Waterproof & Dustproof Protective Cover for Pedestal & Industrial Fans | Indoor/Outdoor Use, Ideal for Home, Garage &	EN-FAN-20-24-COVER	B0F4KTB64P	Shipped	1	INR	274.0								Noida	UTTAR PRADESH	201301	IN		false			false
404-9876781-1645129	404-9876781-1645129	2025-10-31T14:35:13+00:00	2025-10-31T22:26:08+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Upliance AI Cooking Assistant Cover | Dust and Waterproof Washable suitble for Upliance AI Cooking Assistant | Nylon Material | Black	EN-AI-COOK-BLK-COVER	B0DPCLX5NX	Shipped	1	INR	389.0						7.78		New Delhi	DELHI	110075	IN	PLM-afd311e2-14c6-4fd7-8e6e-264f8a81fd2e	false			false
403-6658137-7726768	403-6658137-7726768	2025-10-31T13:46:59+00:00	2025-11-01T04:20:24+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0								Kadirur	KERALA	670642	IN		false			false
407-6052304-7919569	407-6052304-7919569	2025-10-31T13:33:25+00:00	2025-10-31T19:41:03+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0								THANE	MAHARASHTRA	401501	IN		false			false
171-7385371-8477953	171-7385371-8477953	2025-10-31T13:31:10+00:00	2025-10-31T19:46:46+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0						21.98		GHAZIABAD	UTTAR PRADESH	201010	IN	PLM-afd311e2-14c6-4fd7-8e6e-264f8a81fd2e	false			false
405-3773309-1674752	405-3773309-1674752	2025-10-31T13:14:40+00:00	2025-10-31T19:35:09+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0						21.98		KANPUR	UTTAR PRADESH	209202	IN	PLM-afd311e2-14c6-4fd7-8e6e-264f8a81fd2e	false			false
403-1772620-4019538		2025-10-31T12:24:36+00:00	2025-10-31T12:39:58+00:00	Pending	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-30in)	EN-SPARE-TYRE-30IN	B0FQBVHKNT	Unshipped	1	INR	473.0	72.15							Srinagar Garhwal	UTTARAKHAND	246174	IN		false			false
406-9653112-4866754	406-9653112-4866754	2025-10-31T12:08:48+00:00	2025-10-31T14:40:08+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0		40.0					40.0	GADAG BETIGERI	KARNATAKA	582101	IN		false			false
402-9180458-5826765	402-9180458-5826765	2025-10-31T10:51:01+00:00	2025-10-31T15:26:07+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam	EN-GARMT-STEAMER-COVER	B0FB447JP8	Shipped	1	INR	481.0								BENGALURU	KARNATAKA	560079	IN		false			false
