"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"14 Sept 2025 7:19:27 pm UTC","25550545982","Adjustment","402-9394939-8337946","EN-AIR-COOLER-65LTR-COVER","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","481.71","481.71"
"14 Sept 2025 7:52:23 pm UTC","25550837542","Order","408-6791698-9801114","EN-CMKR-BLK-COVER","Encasify Chef Magic Kitchen Robot Cover | Dust & Scratch Proof Washable suitble for Chef Magic Kitchen Robot Cover | Nylon Material | Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","NEW DELHI","DELHI","110043","348.31","0","0","-6.97","61.44","0","0","-1.71","-0.35","-30.89","-96.76","-24.78","0","248.29"
"14 Sept 2025 11:17:13 pm UTC","25550837542","Fulfilment Fee Refund","405-3114447-8010730","","Fulfillment Fee Refund","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","120.36","0","0","120.36"
"14 Sept 2025 11:32:24 pm UTC","25550837542","Refund","405-3114447-8010730","EN-EMC-BLK-COVER","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","KAHALGAON","BIHAR","813203","-1,046.67","0","0","0","-52.33","0","0","5.23","0","175.08","0","60.18","0","-858.51"
"15 Sept 2025 1:55:57 am UTC","25550545982","Adjustment","403-4649346-9881163","EN-TTT-BLK-COVER","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","74.93","74.93"
"15 Sept 2025 6:08:12 am UTC","25550837542","Order","406-5539259-2057964","EN-AIR-COOLER-65LTR-COVER","Encasify Air Cooler Cover | Crompton Optimus 65 Litre Desert Cooler Cover | Polyster | Black (65 ltr)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","NEW DELHI","DELHI","110030","712.38","38.10","0","-38.10","35.62","0","0","-3.56","-0.72","-119.16","-96.76","-30.68","0","497.12"
"15 Sept 2025 6:31:25 am UTC","25550837542","Order","403-3568473-7102742","EN-AI-COOK-BLK-COVER","Encasify Upliance AI Cooking Assistant Cover | Dust and Waterproof Washable suitble for Upliance AI Cooking Assistant | Nylon Material | Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","CHENNAI","TAMIL NADU","600094","370.48","0","0","-7.41","18.15","0","0","-1.82","-0.37","-20.24","-96.76","-15.34","0","246.69"
"15 Sept 2025 6:38:45 am UTC","25550545982","Order","403-1867073-2700343","EN-GARMT-STEAMER-COVER","Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","KHANNA","PUNJAB","141401","443.77","38.10","0","0","24.09","0","0","-2.41","-0.49","-35.74","-136.76","-24.78","0","305.78"
"15 Sept 2025 7:40:21 am UTC","25550545982","Order","408-3577581-3563543","EN-POOL-CUE-COVER","Encasify Billiard Pool Cue Stick Cover - Dustproof Sleeve for Cue Protection - Nylon Material - Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","GURUGRAM","HARYANA","122017","0","0","0","0","0","0","0","0","0","0","-96.76","0","0","-96.76"
"15 Sept 2025 7:53:32 am UTC","25550837542","Order","403-5701614-6921923","EN-AIR-COOLER-90LTR-COVER","Encasify Air Cooler Cover | Bajaj DMH 90 Neo 90L Litre Cooler Cover | Polyster | Black (90 ltr)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","ABU ROAD","RAJASTHAN","307026","665.71","0","0","-19.97","32.29","0","0","-3.23","-0.65","-216.01","-70.22","-61.36","0","326.56"
